,user__screen_name
realDonaldTrump,320
mtgreenee,59
LaurenWitzkeDE,22
AntonioSabatoJr,13
BarnettforAZ,13
DrPaulGosar,10
theangiestanton,6
RepMoBrooks,5
replouiegohmert,5
Manga4Congress,4
montaga,4
GeorgePapa19,3
Jim_Jordan,3
RandPaul,3
WendyRogersAZ,3
GOP,3
Dude4Liberty,3
SandySmithNC,2
TTuberville,2
RealErinCruz,2
laurenboebert,2
RealOmarNavarro,2
RepMattGaetz,2
RepThomasMassie,2
realannapaulina,2
CongressmanHice,2
mattgaetz,2
DrDenaGrayson,2
pastormarkburns,1
RonDeSantisFL,1
CargileFor,1
AntonioSabatojr,1
Tim_Canova,1
harrisonjaime,1
lavern_spicer,1
Revelation1217,1
chiproytx,1
JaimyBlanco,1
VoteMarsha,1
chuck4congress,1
SamPetersNevada,1
DetmerMike,1
Swanson4Liberty,1
CarmenMaMontiel,1
kimKBaltimore,1
GOPLeader,1
EricEarly_CA,1
JamesBradleyCA,1
RepBarryMoore,1
RepMarkGreen,1
GregMusselwhit3,1
RepJohnRose,1
tedcruz,1
Autry,1
DannyTarkanian,1
GoodForCongress,1
ErrolWebber,1
SenRonJohnson,1
ThomTillis,1
Santos4Congress,1
MarkMeadows,1
ElectBergmann,1
ossoff,1
RepLaMalfa,1
ScottforFlorida,1
RealJohnDennis,1
MarylandNickG,1
EliseStefanik,1
PerkinsForUSSen,1
